# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 29 13:59:35 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_vet_stat:   Vetting Status
# COLUMN koi_vet_date:   Date of Last Parameter Update
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_disp_prov:  Disposition Provenance
# COLUMN koi_comment:    Comment
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0:      Transit Epoch [BJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_longp:      Long. of Periastron [deg]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_ingress:    Ingress Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_limbdark_mod: Limb Darkening Model
# COLUMN koi_ldm_coeff4: Limb Darkening Coeff. 4
# COLUMN koi_ldm_coeff3: Limb Darkening Coeff. 3
# COLUMN koi_ldm_coeff2: Limb Darkening Coeff. 2
# COLUMN koi_ldm_coeff1: Limb Darkening Coeff. 1
# COLUMN koi_parm_prov:  Parameters Provenance
# COLUMN koi_max_sngle_ev: Maximum Single Event Statistic
# COLUMN koi_max_mult_ev: Maximum Multiple Event Statistic
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_quarters:   Quarters
# COLUMN koi_bin_oedp_sig: Odd-Even Depth Comparision Statistic
# COLUMN koi_trans_mod:  Transit Model
# COLUMN koi_model_dof:  Degrees of Freedom
# COLUMN koi_model_chisq: Chi-Square
# COLUMN koi_datalink_dvr: Link to DV Report
# COLUMN koi_datalink_dvs: Link to DV Summary
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN koi_sparprov:   Stellar Parameter Provenance
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_gmag:       g'-band [mag]
# COLUMN koi_rmag:       r'-band [mag]
# COLUMN koi_imag:       i'-band [mag]
# COLUMN koi_zmag:       z'-band [mag]
# COLUMN koi_jmag:       J-band [mag]
# COLUMN koi_hmag:       H-band [mag]
# COLUMN koi_kmag:       K-band [mag]
# COLUMN koi_fwm_stat_sig: FW Offset Significance [percent]
# COLUMN koi_fwm_sra:    FW Source &alpha;(OOT) [hrs]
# COLUMN koi_fwm_sdec:   FW Source &delta;(OOT) [deg]
# COLUMN koi_fwm_srao:   FW Source &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_sdeco:  FW Source &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_fwm_prao:   FW &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_pdeco:  FW &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_dicco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_msky: PRF &Delta;&theta;<sub>SQ</sub>(OOT) []arcsec
# COLUMN koi_dikco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(KIC) [arcsec]
# COLUMN koi_dikco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(KIC) [arcsec]
# COLUMN koi_dikco_msky: PRF &Delta;&theta;<sub>SQ</sub>(KIC) [arcsec]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
1033,9886661,K01606.01,Kepler-905 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.082748362,133.2117600,2454966.212,0,,0.0630,1.77320,,2.7670e+02,0.014971,8.00121,LS+MCMC,1.40,0.0572,89.84,928.0,175.06,22.190000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2240,0.4695,q1_q17_dr25_koi,6.6415987,33.8233530,40.90,1,262,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.96430,Mandel and Agol (2002 ApJ 580 171),,,009/009886/009886661/dv/kplr009886661-20160209194854_dvr.pdf,009/009886/009886661/dv/kplr009886661-001-20160209194854_dvs.pdf,5430.00,4.555,0.1800,0.8580,0.9610,,q1_q17_dr25_stellar,290.051120,46.713371,13.984,14.527,13.920,13.752,13.678,12.697,12.372,12.264,0.006,19.336749600,46.71353000,0.33000,0.58000,-8.300000e-05,-1.280000e-04,-0.0200,-0.1500,0.1500,0.0700,-0.0100,0.0700
1034,5477805,K01607.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET,5.006735760,134.5423900,2454967.542,0,,0.5990,1.93980,,1.9120e+02,0.013235,3.16504,LS+MCMC,2.00,0.0574,87.87,1324.0,726.94,16.130000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2949,0.3354,q1_q17_dr25_koi,4.2541347,24.8464850,26.60,1,271,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.42110,Mandel and Agol (2002 ApJ 580 171),,,005/005477/005477805/dv/kplr005477805-20160209194854_dvr.pdf,005/005477/005477805/dv/kplr005477805-001-20160209194854_dvs.pdf,6116.00,4.158,-0.2600,1.3830,1.0050,,q1_q17_dr25_stellar,298.962550,40.630661,13.518,13.985,13.495,13.317,13.279,12.395,12.115,12.017,0.000,19.930685000,40.63139000,-6.20000,2.63000,1.337000e-03,-6.060000e-04,-5.3230,2.6940,5.9660,-5.2850,2.7200,5.9400
1035,10055126,K01608.01,Kepler-311 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.176171670,138.7139300,2454971.714,0,,0.1070,4.26420,,2.0690e+02,0.013130,1.02261,LS+MCMC,1.66,0.0850,89.63,960.0,200.99,16.573000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,5.6115160,29.1186220,34.30,3,146,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.71800,Mandel and Agol (2002 ApJ 580 171),,,010/010055/010055126/dv/kplr010055126-20160209194854_dvr.pdf,010/010055/010055126/dv/kplr010055126-001-20160209194854_dvs.pdf,5903.00,4.300,-0.1000,1.1560,0.9740,,q1_q17_dr25_stellar,282.061280,47.085491,13.797,14.147,13.726,13.647,13.591,12.751,12.470,12.418,0.018,18.804095000,47.08568000,0.32000,0.68000,-8.000000e-05,-1.280000e-04,-0.2500,0.1300,0.2900,-0.2800,0.1900,0.3400
1036,10055126,K01608.02,Kepler-311 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9980,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,19.738399200,133.2854400,2454966.285,0,,0.7320,4.89400,,1.6810e+02,0.012790,0.48868,LS+MCMC,1.61,0.1417,88.06,744.0,72.32,21.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,4.2815266,15.5560380,20.30,3,63,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.89020,Mandel and Agol (2002 ApJ 580 171),,,010/010055/010055126/dv/kplr010055126-20160209194854_dvr.pdf,010/010055/010055126/dv/kplr010055126-002-20160209194854_dvs.pdf,5903.00,4.300,-0.1000,1.1560,0.9740,,q1_q17_dr25_stellar,282.061280,47.085491,13.797,14.147,13.726,13.647,13.591,12.751,12.470,12.418,0.001,18.804058000,47.08594000,-1.04000,1.62000,1.400000e-04,-2.400000e-04,0.2600,0.1200,0.2800,0.2500,0.2300,0.3400
1037,5009743,K01609.01,Kepler-906 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9960,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,41.698018600,169.5754800,2455002.575,0,,0.0020,5.70470,,4.4080e+02,0.019191,2.00587,LS+MCMC,2.03,0.2359,90.00,537.0,19.61,56.910000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,9.4194030,36.3332330,43.40,1,33,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.17680,Mandel and Agol (2002 ApJ 580 171),,,005/005009/005009743/dv/kplr005009743-20160209194854_dvr.pdf,005/005009/005009743/dv/kplr005009743-001-20160209194854_dvs.pdf,5997.00,4.466,-0.1400,0.9710,1.0040,,q1_q17_dr25_stellar,291.405550,40.125488,13.956,14.337,13.912,13.793,13.745,12.944,12.664,12.594,0.123,19.427046200,40.12553300,0.39000,0.15000,-1.700000e-04,-6.000000e-05,0.3300,-0.0700,0.3300,0.3500,-0.0900,0.3600
1038,10015937,K01720.01,Kepler-1767 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9990,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,59.658534800,168.0876400,2455001.088,0,,0.9560,5.51400,,1.0438e+03,0.039578,0.20596,LS+MCMC,3.59,0.2873,88.38,393.0,5.66,33.800000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1914,0.5167,q1_q17_dr25_koi,5.9607770,18.5279480,21.20,1,21,1,q1_q17_dr25_tce,01111111111111111000000000000000,0.13320,Mandel and Agol (2002 ApJ 580 171),,,010/010015/010015937/dv/kplr010015937-20160209194854_dvr.pdf,010/010015/010015937/dv/kplr010015937-001-20160209194854_dvs.pdf,5243.00,4.547,0.1400,0.8310,0.8870,,q1_q17_dr25_stellar,293.644170,46.989761,15.742,16.353,15.694,15.480,15.342,14.402,13.886,13.792,0.000,19.576274000,46.98969000,-0.16000,-0.25000,1.300000e-04,-1.630000e-03,-0.0200,0.1300,0.1300,-0.1100,-0.2500,0.2700
1039,10019065,K01721.01,Kepler-938 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,52.629854200,155.6106400,2454988.611,0,,0.3110,6.11800,,6.7580e+02,0.023543,1.79838,LS+MCMC,3.68,0.2689,89.72,544.0,20.65,64.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1923,0.5191,q1_q17_dr25_koi,6.2089157,22.1207960,27.20,1,26,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.53520,Mandel and Agol (2002 ApJ 580 171),,,010/010019/010019065/dv/kplr010019065-20160209194854_dvr.pdf,010/010019/010019065/dv/kplr010019065-001-20160209194854_dvs.pdf,5339.00,4.096,0.2000,1.4330,0.9330,,q1_q17_dr25_stellar,294.789150,46.983990,15.004,15.543,14.947,14.773,14.703,13.741,13.386,13.260,0.318,19.652600000,46.98383000,-0.35000,-0.56000,1.900000e-04,2.400000e-04,0.1100,-0.1900,0.2200,0.1000,-0.3000,0.3200
1040,7950644,K00192.01,Kepler-427 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9910,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,10.290994129,137.0220594,2454970.022,0,,0.0490,4.28889,,9.6557e+03,0.089546,1.42075,LS+MCMC,13.43,0.0906,89.86,996.0,233.08,19.961000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2736,0.3819,q1_q17_dr25_koi,161.0395700,1185.7482000,1245.70,1,128,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.09890,Mandel and Agol (2002 ApJ 580 171),,,007/007950/007950644/dv/kplr007950644-20160209194854_dvr.pdf,007/007950/007950644/dv/kplr007950644-001-20160209194854_dvs.pdf,5803.00,4.134,-0.1800,1.3730,0.9370,,q1_q17_dr25_stellar,288.254580,43.704868,14.221,14.621,14.172,14.049,13.990,13.161,12.814,12.777,0.000,19.216973770,43.70487040,0.06920,0.00100,1.000000e-05,4.100000e-04,-0.0040,-0.0110,0.0120,0.0330,-0.1300,0.1340
1041,10080248,K01722.01,Kepler-939 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.8200,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,14.878394500,142.9684100,2454975.968,0,,0.7490,7.49100,,3.2280e+02,0.017825,0.09884,LS+MCMC,1.63,0.1153,85.91,692.0,54.19,10.500000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2787,0.3728,q1_q17_dr25_koi,4.5428386,19.3047560,22.90,1,91,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.58420,Mandel and Agol (2002 ApJ 580 171),,,010/010080/010080248/dv/kplr010080248-20160209194854_dvr.pdf,010/010080/010080248/dv/kplr010080248-001-20160209194854_dvs.pdf,5822.00,4.557,-0.2800,0.8370,0.9200,,q1_q17_dr25_stellar,293.865600,47.026829,15.534,16.063,15.484,15.308,15.184,14.280,13.861,13.762,0.036,19.591021000,47.02673000,-0.72000,-0.35000,2.100000e-04,2.600000e-04,-0.7500,0.2800,0.8000,-0.7000,0.2900,0.7600
1042,10213902,K01723.01,Kepler-940 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9920,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,59.622262700,138.1380500,2454971.138,0,,0.8730,6.88800,,9.9340e+02,0.033370,0.26091,LS+MCMC,3.63,0.3059,88.63,486.0,13.23,36.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,8.1533980,29.1438800,31.90,1,23,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.12390,Mandel and Agol (2002 ApJ 580 171),,,010/010213/010213902/dv/kplr010213902-20160209194854_dvr.pdf,010/010213/010213902/dv/kplr010213902-001-20160209194854_dvs.pdf,6108.00,4.471,-0.0800,0.9970,1.0720,,q1_q17_dr25_stellar,294.241300,47.275982,15.517,15.961,15.466,15.327,15.281,14.399,13.994,14.019,0.078,19.616099000,47.27593000,0.49000,-0.17000,-7.200000e-04,1.400000e-04,0.2000,-0.1800,0.2700,0.2300,-0.2600,0.3400
1043,9842906,K01493.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,1,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,4.988387300,358.2352600,2455191.235,0,,0.9440,9.05900,,5.0760e+02,0.025642,0.00564,LS+MCMC,3.28,0.0615,61.07,1236.0,550.52,1.950000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3138,0.2998,q1_q17_dr25_koi,5.2359495,29.4113520,42.40,1,174,1,q1_q17_dr25_tce,00011101110111011000000000000000,0.00560,Mandel and Agol (2002 ApJ 580 171),,,009/009842/009842906/dv/kplr009842906-20160209194854_dvr.pdf,009/009842/009842906/dv/kplr009842906-001-20160209194854_dvs.pdf,6418.00,4.395,0.0700,1.1710,1.2410,,q1_q17_dr25_stellar,296.441800,46.616711,15.447,15.851,15.382,15.274,15.239,14.290,14.045,13.984,0.000,19.762814100,46.61653500,1.04000,-0.63000,-1.517000e-03,6.600000e-04,4.0900,-6.6000,7.7700,1.1500,-4.8700,5.0000
1044,11821363,K01494.01,Kepler-1754 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9940,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.195966470,136.6873600,2454969.687,0,,0.2520,2.82400,,7.9280e+02,0.025049,3.01443,LS+MCMC,2.04,0.0718,89.34,672.0,48.20,22.040000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1054,0.6323,q1_q17_dr25_koi,4.7929440,17.2024150,20.20,1,77,1,q1_q17_dr25_tce,10011001100110011000000000000000,0.25680,Mandel and Agol (2002 ApJ 580 171),,,011/011821/011821363/dv/kplr011821363-20160209194854_dvr.pdf,011/011821/011821363/dv/kplr011821363-001-20160209194854_dvs.pdf,4723.00,4.557,0.0800,0.7470,0.7340,,q1_q17_dr25_stellar,295.457150,50.077171,15.858,16.797,15.782,15.455,15.295,14.118,13.553,13.438,0.708,19.697129000,50.07708000,-0.50000,-0.32000,2.700000e-04,2.400000e-04,-0.1600,-0.0400,0.1700,-0.3100,0.0100,0.3100
1045,7629518,K01495.01,Kepler-863 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9990,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,15.594660450,137.5636000,2454970.564,0,,0.2660,5.04780,,8.6770e+02,0.027042,0.99953,LS+MCMC,2.74,0.1220,89.35,718.0,62.88,23.420000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,7.6722910,41.8340260,49.20,1,84,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.03160,Mandel and Agol (2002 ApJ 580 171),,,007/007629/007629518/dv/kplr007629518-20160209194854_dvr.pdf,007/007629/007629518/dv/kplr007629518-001-20160209194854_dvs.pdf,5900.00,4.500,-0.1000,0.9290,0.9950,,q1_q17_dr25_stellar,297.664520,43.248959,15.430,15.982,15.387,15.193,15.088,14.206,13.829,13.706,0.141,19.844310600,43.24893300,0.37000,-0.10000,-3.300000e-04,-5.000000e-05,-0.1100,0.4200,0.4300,-0.1900,0.3200,0.3700
1046,10810838,K00174.01,Kepler-482 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9990,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,56.354079160,144.8376800,2454977.838,0,,0.8350,3.44490,,1.0370e+03,0.033885,2.63903,LS+MCMC,2.59,0.2537,89.37,352.0,3.63,76.200000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1196,0.6106,q1_q17_dr25_koi,15.5719330,51.2385860,59.40,1,19,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.75800,Mandel and Agol (2002 ApJ 580 171),,,010/010810/010810838/dv/kplr010810838-20160209194854_dvr.pdf,010/010810/010810838/dv/kplr010810838-001-20160209194854_dvs.pdf,4802.00,4.582,-0.2200,0.7010,0.6860,,q1_q17_dr25_stellar,296.822910,48.107552,13.779,14.551,13.716,13.449,13.227,12.173,11.661,11.536,0.096,19.788201200,48.10779100,0.28000,0.87000,-1.800000e-04,-2.600000e-04,0.1000,-0.0500,0.1100,0.2300,0.6100,0.6500
1047,4828341,K01496.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,36.128954510,388.5513180,2455221.551,0,,1.4740,2.23480,,3.7586e+03,0.539433,2.41926,LS+MCMC,53.72,0.2085,88.47,546.0,21.05,55.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2965,0.3342,q1_q17_dr25_koi,14.9329710,61.7478830,66.30,1,33,1,q1_q17_dr25_tce,00011111111111111000000000000000,0.40740,Mandel and Agol (2002 ApJ 580 171),,,004/004828/004828341/dv/kplr004828341-20160209194854_dvr.pdf,004/004828/004828341/dv/kplr004828341-001-20160209194854_dvs.pdf,5921.00,4.484,-0.3000,0.9120,0.9230,,q1_q17_dr25_stellar,289.606780,39.938332,15.600,16.116,15.558,15.378,15.277,14.366,13.978,13.819,0.240,19.307112900,39.93822000,-0.21000,-0.40000,9.000000e-04,1.000000e-04,0.0260,-0.0500,0.0600,-0.0500,-0.1400,0.1400
1048,10019763,K01558.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED---CENT_KIC_POS,32.504563090,365.3582950,2455198.358,0,,0.9270,2.46570,,7.5896e+03,0.103288,3.92993,LS+MCMC,10.68,0.1985,89.12,591.0,28.80,60.320000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3058,0.3071,q1_q17_dr25_koi,40.9803700,165.2975300,148.10,1,34,1,q1_q17_dr25_tce,00011111111111111000000000000000,0.65800,Mandel and Agol (2002 ApJ 580 171),,,010/010019/010019763/dv/kplr010019763-20160209194854_dvr.pdf,010/010019/010019763/dv/kplr010019763-001-20160209194854_dvs.pdf,6132.00,4.479,-0.3000,0.9470,0.9800,,q1_q17_dr25_stellar,295.046390,46.974590,15.134,15.561,15.090,14.951,14.855,13.944,13.504,13.430,0.000,19.669748000,46.97473700,-0.39500,0.53000,-5.000000e-03,2.900000e-03,0.7500,-0.6000,0.9600,0.0710,0.1620,0.1770
1049,9899280,K01559.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_ALT---CENT_FEW_DIFFS---HALO_GHOST---EPHEM_MATCH,1.332560589,133.3831100,2454966.383,0,,0.0090,4.24270,,5.6660e+02,0.021006,0.17091,LS+MCMC,1.40,0.0202,89.80,1086.0,330.32,2.522100,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.0966,0.6414,q1_q17_dr25_koi,4.1053076,24.4749720,108.80,1,1004,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.33980,Mandel and Agol (2002 ApJ 580 171),,,009/009899/009899280/dv/kplr009899280-20160209194854_dvr.pdf,009/009899/009899280/dv/kplr009899280-001-20160209194854_dvs.pdf,4489.00,4.662,-0.4000,0.6090,0.6210,,q1_q17_dr25_stellar,295.185610,46.786709,15.036,16.018,14.966,14.615,14.371,13.309,12.694,12.566,0.000,19.679115000,46.78596000,2.73000,-2.69000,-5.380000e-04,4.420000e-04,0.2500,-1.0900,1.1200,0.2300,-0.9300,0.9600
1050,8046659,K01560.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0000,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,31.569043540,158.2998300,2454991.300,0,,0.9850,2.63640,,4.2294e+03,0.102553,1.77026,LS+MCMC,11.18,0.1878,88.76,575.0,25.83,45.300000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2676,0.3928,q1_q17_dr25_koi,26.1850510,113.6044700,113.60,1,42,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.30530,Mandel and Agol (2002 ApJ 580 171),,,008/008046/008046659/dv/kplr008046659-20160209194854_dvr.pdf,008/008046/008046659/dv/kplr008046659-001-20160209194854_dvs.pdf,5654.00,4.387,-0.1000,0.9980,0.8860,,q1_q17_dr25_stellar,297.419650,43.876579,15.042,15.659,15.023,14.778,14.630,13.900,13.491,13.523,0.000,19.827967400,43.87675400,-0.39000,0.63000,1.490000e-03,-3.630000e-03,-0.2300,0.8090,0.8410,-0.2220,0.5810,0.6220
1051,4940438,K01561.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,9.085904950,182.0816200,2455015.082,0,,0.9780,2.07180,,2.1213e+03,0.066386,0.67150,LS+MCMC,6.28,0.0799,86.08,861.0,130.10,14.310000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2979,0.3238,q1_q17_dr25_koi,10.9906180,50.4632700,50.50,1,99,1,q1_q17_dr25_tce,01101011101110111000000000000000,0.54830,Mandel and Agol (2002 ApJ 580 171),,,004/004940/004940438/dv/kplr004940438-20160209194854_dvr.pdf,004/004940/004940438/dv/kplr004940438-001-20160209194854_dvs.pdf,5931.00,4.479,-0.6000,0.8660,0.8250,,q1_q17_dr25_stellar,296.033420,40.019611,15.549,16.086,15.521,15.319,15.187,14.242,13.865,13.799,0.041,19.735549400,40.01957200,-0.52000,-0.14000,8.300000e-04,6.100000e-04,-0.0180,-0.0600,0.0600,-0.0700,0.0500,0.0900
1052,5308663,K01562.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,0,1,q1_q17_dr25_sup_koi,CENT_FEW_MEAS---EPHEM_MATCH,0.784512952,355.5726300,2455188.573,0,,1.2340,2.46230,,5.8600e+02,0.258133,0.08089,LS+MCMC,25.48,0.0166,26.69,1952.0,3432.93,1.381000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2916,0.3447,q1_q17_dr25_koi,4.0414243,15.3658285,44.40,2,1441,1,q1_q17_dr25_tce,00011111111111111000000000000000,0.96470,Mandel and Agol (2002 ApJ 580 171),,,005/005308/005308663/dv/kplr005308663-20160209194854_dvr.pdf,005/005308/005308663/dv/kplr005308663-001-20160209194854_dvs.pdf,5997.00,4.522,-0.2200,0.9040,0.9910,,q1_q17_dr25_stellar,299.556000,40.456551,15.590,16.112,15.546,15.366,15.252,14.337,13.992,13.948,0.000,19.970293000,40.45925000,-4.36000,9.72000,1.090000e-03,-1.660000e-03,,,,,,
